date,issue,x,y,z
2020-04-07,2020049,2,9,7
2020-04-06,2020048,9,9,7
2020-04-05,2020047,8,7,4
2020-04-04,2020046,8,2,2
2020-04-03,2020045,2,3,4
2020-04-02,2020044,2,2,7
2020-04-01,2020043,5,6,7
2020-03-31,2020042,0,3,4
2020-03-30,2020041,8,7,9
2020-03-29,2020040,9,0,0
2020-03-28,2020039,4,7,2
2020-03-27,2020038,3,9,2
2020-03-26,2020037,6,8,3
2020-03-25,2020036,7,4,0
2020-03-24,2020035,7,7,6
2020-03-23,2020034,5,3,1
2020-03-22,2020033,1,1,6
2020-03-21,2020032,7,9,4
2020-03-20,2020031,8,1,8
2020-03-19,2020030,0,3,7
2020-03-18,2020029,0,4,2
2020-03-17,2020028,2,6,5
2020-03-16,2020027,2,3,1
2020-03-15,2020026,8,8,5
2020-03-14,2020025,1,4,3
2020-03-13,2020024,8,2,7
2020-03-12,2020023,5,1,1
2020-03-11,2020022,4,8,5
2020-01-21,2020021,9,0,1
2020-01-20,2020020,2,9,6
2020-01-19,2020019,0,4,9
2020-01-18,2020018,6,2,3
2020-01-17,2020017,4,3,4
2020-01-16,2020016,2,5,1
2020-01-15,2020015,5,8,6
2020-01-14,2020014,1,3,7
2020-01-13,2020013,4,4,7
2020-01-12,2020012,7,0,5
2020-01-11,2020011,3,9,7
2020-01-10,2020010,3,8,9
2020-01-09,2020009,5,7,4
2020-01-08,2020008,6,0,2
2020-01-07,2020007,4,9,6
2020-01-06,2020006,2,9,6
2020-01-05,2020005,8,0,4
2020-01-04,2020004,8,0,7
2020-01-03,2020003,0,0,4
2020-01-02,2020002,3,3,7
2020-01-01,2020001,0,8,7
2019-12-31,2019351,8,5,2
2019-12-30,2019350,2,9,0
2019-12-29,2019349,8,7,8
2019-12-28,2019348,8,2,2
2019-12-27,2019347,3,4,8
2019-12-26,2019346,4,7,2
2019-12-25,2019345,5,1,1
2019-12-24,2019344,7,0,4
2019-12-23,2019343,5,3,8
2019-12-22,2019342,7,8,9
2019-12-21,2019341,8,0,2
2019-12-20,2019340,0,5,1
2019-12-19,2019339,6,0,2
2019-12-18,2019338,9,1,4
2019-12-17,2019337,9,5,9
2019-12-16,2019336,6,6,5
2019-12-15,2019335,6,7,7
2019-12-14,2019334,0,0,0
2019-12-13,2019333,5,3,6
2019-12-12,2019332,7,7,6
2019-12-11,2019331,8,8,3
2019-12-10,2019330,2,6,5
2019-12-09,2019329,0,4,7
2019-12-08,2019328,1,2,5
2019-12-07,2019327,2,4,2
2019-12-06,2019326,5,4,5
2019-12-05,2019325,7,9,8
2019-12-04,2019324,4,3,2
2019-12-03,2019323,1,7,0
2019-12-02,2019322,0,4,4
2019-12-01,2019321,8,5,3
2019-11-30,2019320,5,8,8
2019-11-29,2019319,3,3,3
2019-11-28,2019318,2,3,2
2019-11-27,2019317,5,4,8
2019-11-26,2019316,8,8,5
2019-11-25,2019315,9,8,3
2019-11-24,2019314,5,9,4
2019-11-23,2019313,0,4,8
2019-11-22,2019312,0,3,1
2019-11-21,2019311,2,4,8
2019-11-20,2019310,7,6,5
2019-11-19,2019309,3,4,1
2019-11-18,2019308,6,7,2
2019-11-17,2019307,0,3,6
2019-11-16,2019306,1,5,3
2019-11-15,2019305,4,3,9
2019-11-14,2019304,4,6,5
2019-11-13,2019303,9,0,9
2019-11-12,2019302,4,2,6
2019-11-11,2019301,1,0,9
2019-11-10,2019300,9,3,6
2019-11-09,2019299,3,2,8
2019-11-08,2019298,3,3,5
2019-11-07,2019297,9,5,6
2019-11-06,2019296,3,4,5
2019-11-05,2019295,8,7,7
2019-11-04,2019294,6,1,2
2019-11-03,2019293,6,6,3
2019-11-02,2019292,0,6,8
2019-11-01,2019291,8,8,2
2019-10-31,2019290,3,2,8
2019-10-30,2019289,3,6,2
2019-10-29,2019288,7,5,8
2019-10-28,2019287,7,1,5
2019-10-27,2019286,2,9,3
2019-10-26,2019285,0,5,9
2019-10-25,2019284,5,6,2
2019-10-24,2019283,4,4,4
2019-10-23,2019282,8,5,8
2019-10-22,2019281,9,8,0
2019-10-21,2019280,0,6,1
2019-10-20,2019279,2,6,6
2019-10-19,2019278,8,4,2
2019-10-18,2019277,0,4,6
2019-10-17,2019276,8,7,3
2019-10-16,2019275,4,9,7
2019-10-15,2019274,4,9,3
2019-10-14,2019273,1,3,4
2019-10-13,2019272,0,0,7
2019-10-12,2019271,6,9,5
2019-10-11,2019270,4,7,8
2019-10-10,2019269,4,1,7
2019-10-09,2019268,3,7,3
2019-10-08,2019267,8,9,8
2019-09-30,2019266,9,8,5
2019-09-29,2019265,9,9,9
2019-09-28,2019264,9,8,7
2019-09-27,2019263,9,4,9
2019-09-26,2019262,1,0,3
2019-09-25,2019261,5,9,1
2019-09-24,2019260,9,9,7
2019-09-23,2019259,9,8,9
2019-09-22,2019258,1,0,3
2019-09-21,2019257,0,1,0
2019-09-20,2019256,0,1,8
2019-09-19,2019255,2,6,3
2019-09-18,2019254,5,7,5
2019-09-17,2019253,2,8,1
2019-09-16,2019252,8,3,1
2019-09-15,2019251,0,5,0
2019-09-14,2019250,5,7,5
2019-09-13,2019249,7,1,9
2019-09-12,2019248,2,6,2
2019-09-11,2019247,6,7,0
2019-09-10,2019246,6,1,5
2019-09-09,2019245,8,1,2
2019-09-08,2019244,5,7,5
2019-09-07,2019243,6,8,2
2019-09-06,2019242,6,9,1
2019-09-05,2019241,6,0,8
2019-09-04,2019240,6,6,4
2019-09-03,2019239,1,3,8
2019-09-02,2019238,2,1,7
2019-09-01,2019237,9,5,9
2019-08-31,2019236,2,1,9
2019-08-30,2019235,7,7,0
2019-08-29,2019234,3,4,0
2019-08-28,2019233,6,1,0
2019-08-27,2019232,7,8,9
2019-08-26,2019231,1,1,0
2019-08-25,2019230,8,8,7
2019-08-24,2019229,8,4,5
2019-08-23,2019228,0,5,4
2019-08-22,2019227,2,6,5
2019-08-21,2019226,2,5,2
2019-08-20,2019225,6,0,1
2019-08-19,2019224,0,4,3
2019-08-18,2019223,4,0,5
2019-08-17,2019222,1,5,5
2019-08-16,2019221,4,8,4
2019-08-15,2019220,0,1,0
2019-08-14,2019219,4,7,5
2019-08-13,2019218,5,3,2
2019-08-12,2019217,3,6,1
2019-08-11,2019216,4,0,8
2019-08-10,2019215,4,8,7
2019-08-09,2019214,7,8,0
2019-08-08,2019213,2,4,5
2019-08-07,2019212,7,8,6
2019-08-06,2019211,1,2,3
2019-08-05,2019210,3,7,1
2019-08-04,2019209,3,0,6
2019-08-03,2019208,6,7,4
2019-08-02,2019207,9,2,4
2019-08-01,2019206,8,7,9
